                                                                 
 EXPEDIDO EN: ABARROTES KRLOS                                    
 AV. UNIVERSIDAD #200 ESCOBEDO, N.L.                             
=================================================================
                      DETALLE DE INVENTARIO                      
 NO. BOLETA: 16                                                  
 FECHA DE EMISION: 2017-feb-03      HORA: 17:31:56               
 CAJA: 045                                                       
 GENERADO POR: mcavazos                                          
-----------------------------------------------------------------
|DESCRIPCION                                      |CANT          
-----------------------------------------------------------------
 Tecate de 355ml                                   160           
 Indio de 355ml                                    314           
 Tapa con 24 latas de Tecate                       67            
 Litro de leche de almendra                        -40           
 BOTANA 7                                          0             
 BOTANA 8                                          54            
 BOTANA 9                                          129           
 BOTANA 10                                         184           
 BOTANA 12                                         7             
 BOTANA 14                                         7             
 BOTANA 15                                         41            
 VASO ESCARCHADO LT                                27            
 BOTANA 20                                         21            
 BOTANA YEYE 10                                    0             
 BOTANA YEYE 15                                    0             
 MICHE MIX SOBRE                                   30            
 MICHEMIX BOTELLA 2                                17            
 VASO MICHELADO                                    0             
 BOTANA 28                                         12            
 BOTANA 30                                         0             
 BOG PISTACHE 25G                                  0             
 BOG ZARAZA 36G                                    0             
 SEMILLAS 9                                        0             
 BOG 3 MIX 300G                                    0             
 BOG SABOR MX                                      0             
 BOG CHICHARRON 100                                0             
 FRG FRITURAS FRG                                  0             
 GUA CAMARON GDE                                   0             
 GUA CAMARON MED                                   0             
 GUA CHARAL                                        0             
 GUA PISTACHE                                      0             
 GUA CHICHARRON CER                                0             
 GUA CHICHARRON HAR                                0             
 GUA CACAHUATE MED                                 0             
 GUA CACAHUATE VAIN                                0             
 GUA TOTOPITO                                      0             
 GUA MEXCLA-MEX                                    0             
 GUA VASITO                                        0             
 GUA CARNE SECA                                    0             
 GUA ZARAZA CH                                     0             
 GUA ZARAZA MED                                    0             
 GUA PAPAS                                         0             
 GUA TOTOPOTE                                      0             
 GUA COMBINADO                                     0             
 GUA PALOMITAS                                     0             
 VASO/PALETA TAM                                   0             
 CACAHUATE JAPONES                                 0             
 VAINA/PALETA TAM                                  0             
 BOLA/GOMA TAM                                     0             
 VASO GOMITAS                                      0             
 VASO VAINA TAM                                    0             
 CAGUAMA CARTA                                     26            
 SALIMON                                           0             
 TAMARINDO VASO                                    0             
 DULCE 2                                           129           
 DULCE 4                                           0             
 DULCE 6                                           31            
 DULCE 5                                           0             
 DULCE 1                                           1             
 VASO 1/2                                          0             
 VASO LTO                                          0             
 DULCE DE 10                                       0             
 CARTA 1/2                                         42            
 CARTA 1/4                                         0             
 CARTA LATA                                        0             
 XX LTO                                            11            
 CARTA 1/1 NR                                      0             
 CAGUAMON CB                                       126           
 SOL CLAM/CERO                                     95            
 STRONGBOW                                         0             
 AGUA 1 1/2 LTS.                                   18            
 AG SAB 1 1/2 L                                    0             
 AGUA 1 LTO.                                       5             
 AGUA 1/2 LTR.                                     0             
 PAPEL HIG                                         0             
 AGUAFIEL 1 LTO                                    7             
 JUMEX 250                                         0             
 CARBON                                            19            
 CARBON 25                                         3             
 HIELERA CHICA                                     0             
 HIELERA GRANDE                                    0             
 HIELERA MONTERREY                                 0             
 SOL 1/2                                           95            
 HIELERA SIX                                       0             
 BARRA 1/8                                         0             
 HIELO BOLSA                                       0             
 JUGO V8                                           0             
 LE¥A                                              1             
 LEÑA RV                                           0             
 PORTA-CAGUAMA                                     0             
 PORTA-CHEVE                                       0             
 SOL 160Z                                          0             
 SOL 1 1/4                                         26            
 SOL LIMON                                         -1            
 COORS 1/2 NR                                      0             
 COORS LTO                                         0             
 SOL BRAVA QP                                      0             
 TKT TITANIUM                                      36            
 INDIO GIRATOP                                     12            
 ABSOLUT 3/4                                       0             
 ABSOLUT LTO                                       0             
 ABSOLUT WATKINS                                   0             
 ABSOLUT 100                                       0             
 WILLIAM LAWSON                                    0             
 XX RADLER                                         18            
 MEZCAL 1/2                                        0             
 MEZCAL LTO                                        0             
 APPLETON STATE                                    0             
 GLENBAYS                                          0             
 AGUA QUINA 355 ML                                 0             
 MOET CHANDON                                      0             
 CREMA DE COCO                                     0             
 LECHE CARNATION                                   0             
 CUERVO ESPECIAL 1/                                0             
 BOOST                                             0             
 BOONES 3/4                                        0             
 CHIVAS 18 AÑOS                                    0             
 CHIVAS LTO                                        0             
 AZTECA ORO 375                                    0             
 BLACK & WHITE                                     0             
 OLD PAR LTO                                       0             
 BUCHANANS MASTER                                  0             
 BUCHANANS 18 AÑOS                                 0             
 BUCHANANS LTO                                     0             
 BACARDI AÑEJO 1 LT                                0             
 AZTECA ORO                                        0             
 BACARDI AÑEJO 3/4                                 0             
 INDIO 1/1                                         0             
 BACARDI BLANCO 1/2                                0             
 BACARDI BLANCO 1 L                                0             
 BACARDI BLANCO 1/4                                0             
 BACARDI AÑEJO 375                                 0             
 BACARDI BLANCO 3/4                                0             
 BACARDI RAZZ/LIMON                                0             
 FLOR DE CAÑA                                      0             
 STOLICHNAYA 375                                   0             
 ABSOLUT MANDRIN                                   0             
 ABSOLUT CITRON                                    0             
 ABSOLUT RUBY RED                                  0             
 MATUSALEM                                         0             
 TORRES 10 1/2                                     0             
 KRAKEN                                            0             
 BACARDI SABOR  3/4                                0             
 BACARDI 8 AÑOS                                    0             
 J B 3/4                                           0             
 JACK DAN 375                                      0             
 ETIQUETA ROJA LTO                                 0             
 ETIQUETA ROJA 375                                 0             
 VAT 69                                            0             
 CATTOS                                            0             
 NUVO                                              0             
 CENTENARIO AÑEJO                                  0             
 INDIO 1/2                                         148           
 BUCHANANS MX                                      0             
 BUCHANANS                                         0             
 ETIQUETA NEGRA 3/4                                0             
 ETIQUETA AZUL 3/4                                 0             
 ETIQUETA VERDE LTO                                0             
 ETIQUETA DOR 3/4                                  0             
 CARIBE COOLER                                     0             
 CHIVAS 3/4                                        0             
 JACK DANIELS 3/4                                  0             
 CHIVAS 375                                        0             
 BUCHANANS 375                                     0             
 CAZADORES 3/4                                     0             
 CAZADORES LTO                                     0             
 CENTENARIO                                        0             
 CENTENARIO PLATA                                  0             
 JACK DAN LTO                                      0             
 CLAMATO KERNS 250                                 16            
 CLAMATO MINI                                      0             
 ET NEGRA 1/4                                      0             
